GENERICO,FORMA_FARMACEUTICA,CONTENIDO,DESCRIPCION_ENVASE
BROMURO DE TIOTROPIO,POLVO,CADA CAPSULA CONTIENE: BROMURO DE TIOTROPIO MONOHIDRATADO EQUIVALENTE A 18 MICROGRAMOS DE TIOTROPIO,30 CAPSULAS (REPUESTO)
BUDESONIDA,POLVO,CADA DOSIS CONTIENE: BUDESONIDA (MICRONIZADA) 100 MICROGRAMOS,200 DOSIS Y DISPOSITIVO INHALADOR
BUTILHIOSCINA O HIOSCINA,GRAGEA O TABLETA,CADA GRAGEA O TABLETA CONTIENE: BROMURO DE BUTILHIOSCINA O BUTILBROMURO DE HIOSCINA 10 MG,10 GRAGEAS O TABLETAS
BUTILHIOSCINA O HIOSCINA,SOLUCION INYECTABLE,CADA AMPOLLETA CONTIENE: BROMURO DE BUTILHIOSCINA O BUTILBROMURO DE HIOSCINA 20 MG,3 AMPOLLETAS DE 1 ML
CALCIO,COMPRIMIDO EFERVESCENTE,CADA COMPRIMIDO CONTIENE: LACTATO GLUCONATO DE CALCIO 2.94 G CARBONATO DE CALCIO 300 MG EQUIVALENTE A 500 MG DE CALCIO IONIZABLE,12 COMPRIMIDOS
CALCITRIOL,CAPSULA DE GELATINA BLANDA,CADA CAPSULA CONTIENE: CALCITRIOL 0.25 MICROGRAMOS,50 CAPSULAS
CAPTOPRIL,TABLETA,CADA TABLETA CONTIENE: CAPTOPRIL 25 MG,30 TABLETAS
CARBAMAZEPINA,TABLETA,CADA TABLETA CONTIENE: CARBAMAZEPINA 200 MG,20 TABLETAS
CARBONATO DE CALCIO / VITAMINA D3,TABLETA,CADA TABLETA CONTIENE: CARBONATO DE CALCIO 1666.670 MG. EQUIVALENTE A 600 MG DE CALCIO COLECALCIFEROL 6.2 MG EQUIVALENTE A 400 UI DE VITAMINA D3,30 TABLETAS
CASEINATO DE CALCIO,POLVO,CADA 100 G CONTIENEN: PROTEINAS 86.0 A 90.0 G GRASAS 0.0 A 2.0 G MINERALES 3.8 A 6.0 G HUMEDAD 0.0 A 6.2 G,100 G
CELECOXIB,CAPSULA,CADA CAPSULA CONTIENE: CELECOXIB 200 MG,10 CAPSULAS
CINARIZINA,TABLETA,CADA TABLETA CONTIENE: CINARIZINA 75 MG,60 TABLETAS
CIPROFLOXACINO,TABLETA O CAPSULA,CADA CAPSULA O TABLETA CONTIENE: CLORHIDRATO DE CIPROFLOXACINO MONOHIDRATADO EQUIVALENTE A 250 MG DE CIPROFLOXACINO,8 CAPSULAS O TABLETAS
CIPROTERONA-ETINILESTRADIOL,GRAGEA,CADA GRAGEA CONTIENE: ACETATO DE CIPROTERONA 2 MG ETINILESTRADIOL 0.035 MG,21 GRAGEAS
CITALOPRAM,TABLETA,CADA TABLETA CONTIENE: BROMHIDRATO DE CITALOPRAM EQUIVALENTE A 20 MG DE CITALOPRAM,28 TABLETAS
