ID,PRODUCTO,URL,PIC,COSTO_30MAR26
34,AMOXICILINA / ACIDO CLAVULANICO 200/28.5MG SUSPENSION 40 O 50 ML 1 PIEZA,https://www.farmaciasdesimilares.com/amoxi_ac_cla_200_28_5mg_susp_40_o_50ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163253-300-300?v=638762740902170000&width=300&height=300&aspect=true,$33
35,AMOXICILINA / ACIDO CLAVULANICO 250MG 60ML SUSPENSION 1 PIEZA,https://www.farmaciasdesimilares.com/amoxicilina_ac_cla_250mg_60ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163084-300-300?v=638745626484500000&width=300&height=300&aspect=true,$64
36,"AMOXICILINA / ACIDO CLAVULANICO 400/57 SUSPENSION 50, 60 ML 1 PIEZA",https://www.farmaciasdesimilares.com/amoxicilina_ac_cla_400_57_susp_50ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163256-300-300?v=638762744882400000&width=300&height=300&aspect=true,$64
37,AMOXICILINA / ACIDO CLAVULANICO 500 MG 10 TABLETAS,https://www.farmaciasdesimilares.com/amoxicilina_ac_cla_500mg_10tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158346-300-300?v=638152102073100000&width=300&height=300&aspect=true,$95
38,AMOXICILINA / ACIDO CLAVULANICO 600/42.9 MG SUSPENSION 1 PIEZA,https://www.farmaciasdesimilares.com/amoxicilina_ac_cla_600_42_9_susp_50ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163017-300-300?v=638738446376370000&width=300&height=300&aspect=true,$88
39,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,https://www.farmaciasdesimilares.com/amoxicilina_ac_cla_875mg_10tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/159747-300-300?v=638494159994130000&width=300&height=300&aspect=true,$99
40,AMOXICILINA / BROMHEXINA 250/8 MG POLVO PARA SUSPENSION 1 PIEZA,https://www.farmaciasdesimilares.com/amoxicilina_brom_250mg_susp_60ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158205-300-300?v=638152101248700000&width=300&height=300&aspect=true,$49
41,AMOXICILINA / BROMHEXINA 500/8MG 12 CAPSULAS,https://www.farmaciasdesimilares.com/amoxicilina_brom_500_8mg_12cap/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158220-300-300?v=638152101328600000&width=300&height=300&aspect=true,$36
42,AMOXICILINA 250 MG SUSPENSION 75 ML 1 PIEZA,https://www.farmaciasdesimilares.com/amoxicilina_250mg_susp_75ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158154-300-300?v=638152100882570000&width=300&height=300&aspect=true,$34
43,AMOXICILINA 500 MG 12 CAPSULAS,https://www.farmaciasdesimilares.com/amoxicilina_500mg_12cap/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162234-300-300?v=638663450058800000&width=300&height=300&aspect=true,$39
44,AMOXICILINA 500 MG SUSPENSION 75 ML 1 PIEZA,https://www.farmaciasdesimilares.com/amoxicilina_500mg_susp_75ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162240-300-300?v=638663450091600000&width=300&height=300&aspect=true,$42
45,AMPICILINA / METAMIZOL / GUAIFENESINA / CLORFENAMINA ADULTO SOLUCIONINYECTABLE 3 AMPOLLETAS,https://www.farmaciasdesimilares.com/ampicilina_met_gua_clo_ad_3amp_3jer/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158337-300-300?v=638152102030030000&width=300&height=300&aspect=true,$94
46,AMPICILINA / METAMIZOL / GUAIFENESINA / CLORFENAMINA INFANTIL SOLUCIONINYECTABLE 3 AMPOLLETAS,https://www.farmaciasdesimilares.com/ampicilina_met_gua_clo_in_3amp_3jer/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158340-300-300?v=638152102044170000&width=300&height=300&aspect=true,$88
47,AMPICILINA 1 GR SOLUCION INYECTABLE 1 PIEZA,https://www.farmaciasdesimilares.com/ampicilina_1gr_sol_iny/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158046-300-300?v=638152100308600000&width=300&height=300&aspect=true,$36
48,AMPICILINA 1GR 10 TABLETAS,https://www.farmaciasdesimilares.com/ampicilina_1gr_10tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158229-300-300?v=638152101393670000&width=300&height=300&aspect=true,$49
49,AMPICILINA 250MG/5ML SUSPENSION 90 ML 1 PIEZA,https://www.farmaciasdesimilares.com/ampicilina_250mg_5ml_susp_90ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162253-300-300?v=638663450262800000&width=300&height=300&aspect=true,$44
50,AMPICILINA 500 MG 20 CAPSULAS,https://www.farmaciasdesimilares.com/ampicilina_500mg_20cap_o_tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158259-300-300?v=638152101591000000&width=300&height=300&aspect=true,$48
51,ANTICUERPOS AFINOPURIFICADOS / AFINES AL INTERFERON / GAMMA HUMANOADULTO 20 TABLETAS,https://www.farmaciasdesimilares.com/anticuerpos_afinopur_adult_20tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157404-300-300?v=638139780400500000&width=300&height=300&aspect=true,$294
52,ANTICUERPOS AFINOPURIFICADOS / AFINES AL INTERFERON / GAMMA HUMANOINFANTIL 20 TABLETAS,https://www.farmaciasdesimilares.com/anticuerpos_afinopur_inf_20tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158616-300-300?v=638154646058000000&width=300&height=300&aspect=true,$294
53,APIXABAN 2.5MG 20 TABLETAS ELICUIS,https://www.farmaciasdesimilares.com/apixaban_2-5mg%C2%A020tab_elicuis/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/164022-300-300?v=639029979812600000&width=300&height=300&aspect=true,
54,APIXABAN 5.0MG 20 TABLETAS ELICUIS,https://www.farmaciasdesimilares.com/apixaban_5-0mg_20tab_elicuis/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/164018-300-300?v=639029969051670000&width=300&height=300&aspect=true,
55,ATENOLOL 50 MG 28 TABLETAS,https://www.farmaciasdesimilares.com/atenolol_50mg_28tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158400-300-300?v=638152102380730000&width=300&height=300&aspect=true,$49
56,ATENOLOL/CLORTALIDONA 50/12.5MG 28 O 30 TABLETAS,https://www.farmaciasdesimilares.com/atenolol-clort_50-12-5mg_28_o_30tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157998-300-300?v=638152100075600000&width=300&height=300&aspect=true,$134
57,ATOMOXETINA 40MG 14CAPSULAS ULTRA,https://www.farmaciasdesimilares.com/atomoxetina_40mg_14cap_ultra/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162960-300-300?v=638727207198600000&width=300&height=300&aspect=true,$159
58,ATORVASTATINA 10 MG 20 TABLETAS,https://www.farmaciasdesimilares.com/atorvastatina_10mg_20tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162084-300-300?v=638663449205600000&width=300&height=300&aspect=true,$66
59,ATORVASTATINA 20 MG 10 TABLETAS,https://www.farmaciasdesimilares.com/atorvastatina_20mg_10tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163268-300-300?v=638762746529000000&width=300&height=300&aspect=true,$66
60,ATORVASTATINA 20 MG PFIZER 30 TABLETAS,https://www.farmaciasdesimilares.com/atorvastatina_20mg_30tab_pfizer/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157134-300-300?v=638139778081270000&width=300&height=300&aspect=true,$239
61,ATORVASTATINA 40 MG 10 TABLETAS,https://www.farmaciasdesimilares.com/atorvastatina_40mg_10tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162099-300-300?v=638663449293300000&width=300&height=300&aspect=true,$116
62,ATORVASTATINA 40 MG PFIZER 30 TABLETAS,https://www.farmaciasdesimilares.com/atorvastatina_40mg_30tab_pfizer/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157137-300-300?v=638139778111870000&width=300&height=300&aspect=true,$392
63,ATORVASTATINA 80MG 30 TABLETAS,https://www.farmaciasdesimilares.com/atorvastatina_80mg_20tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162503-300-300?v=638671826724830000&width=300&height=300&aspect=true,$449
64,ATORVASTATINA/EZETIMIBA 10MG/10MG 30TABLETAS,https://www.farmaciasdesimilares.com/atorvastatina_ezetimiba_10mg_10mg_30tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163930-300-300?v=638997657884770000&width=300&height=300&aspect=true,$549
65,ATORVASTATINA/EZETIMIBA 20MG/10MG 30 TABLETAS,https://www.farmaciasdesimilares.com/atorvastatina_ezetimiba_20mg_10mg_30tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163747-300-300?v=638911457005000000&width=300&height=300&aspect=true,$549
66,ATORVASTATINA/EZETIMIBA 40MG/10MG 30 TABLETAS,https://www.farmaciasdesimilares.com/atorvastatina-ezetimiba_40mg-10mg_30tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/164034-300-300?v=639029982139530000&width=300&height=300&aspect=true,$549
67,AZATIOPRINA 50 MG 50 TABLETAS,https://www.farmaciasdesimilares.com/azatioprina_50mg_50tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157482-300-300?v=638139781036100000&width=300&height=300&aspect=true,$499
68,AZITROMICINA 200MG SUSPENSION 15 ML 1 PIEZA,https://www.farmaciasdesimilares.com/azitromicina_200mg_susp_15ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162354-300-300?v=638663450998070000&width=300&height=300&aspect=true,$104
69,AZITROMICINA 500 MG 3 TABLETAS,https://www.farmaciasdesimilares.com/azitromicina_500mg_3tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162832-300-300?v=638718597118400000&width=300&height=300&aspect=true,$110
70,BENCILPENICILINA / BENZATINA SUSPENSION INYECTABLE 1 PIEZA,https://www.farmaciasdesimilares.com/bencilpenicili_b_1200000u_5ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158292-300-300?v=638152101775330000&width=300&height=300&aspect=true,$34
71,BENCILPENICILINA BENZATINICA SUSPENSION INYECTABLE 1 PIEZA,https://www.farmaciasdesimilares.com/bencilpenicili_b_1200000u_3ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158277-300-300?v=638152101692370000&width=300&height=300&aspect=true,$31
72,BENCILPENICILINA PROCAINICA / BENCILPENICILINA CRISTALINA 400000UI/2ML SUSPENSION INYECTABLE 1 PIEZA,https://www.farmaciasdesimilares.com/bencilpenicili_procai_400000ui_2ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158307-300-300?v=638152101863630000&width=300&height=300&aspect=true,$21
73,BENCILPENICILINA PROCAINICA / CRISTALINA 800000UI/2ML SUSPENSION INYECTABLE 1 PIEZA,https://www.farmaciasdesimilares.com/bencilpenicili_procai_800000ui_2ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163216-300-300?v=638762669965430000&width=300&height=300&aspect=true,$25
74,BETAHISTINA 24 MG 30 TABLETAS,https://www.farmaciasdesimilares.com/betahistina_24mg_30tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162177-300-300?v=638663449729870000&width=300&height=300&aspect=true,$279
75,BETAMETASONA 0.1% VALERATO CREMA 40 GR 1 PIEZA,https://www.farmaciasdesimilares.com/betametasona_0_1_crema_40gr/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157956-300-300?v=638152099835470000&width=300&height=300&aspect=true,$79
76,BETAMETASONA 8MG/2MLSOLUCION INYECTABLE 1 AMPOLLETA,https://www.farmaciasdesimilares.com/betametasona_8mg2ml_1ampjer/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163057-300-300?v=638745382165930000&width=300&height=300&aspect=true,$37
77,BETAMETASONA DE DIPROPIONATO / BETAMETASONA DE FOSFATO SODICO SUSPENSION INYECTABLE 1 AMPOLLETA,https://www.farmaciasdesimilares.com/betametasona_dipbeta_fos_1amp/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/159049-300-300?v=638224900906370000&width=300&height=300&aspect=true,$56
78,BETAMETASONA/GENTAMICINA/CLOTRIMAZOL 40GR CREMA,https://www.farmaciasdesimilares.com/betametasona_genta_clotri_40gr_crema/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/159672-300-300?v=638494150264500000&width=300&height=300&aspect=true,$32
79,BEZAFIBRATO 200 MG 30 TABLETAS,https://www.farmaciasdesimilares.com/bezafibrato_200mg_30tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157542-300-300?v=638139781600300000&width=300&height=300&aspect=true,$59
80,BICALUTAMIDA 50 MG 14 TABLETAS,https://www.farmaciasdesimilares.com/bicalutamida_50mg_14tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162117-300-300?v=638663449383270000&width=300&height=300&aspect=true,$209
81,BIFONAZOL UNGÜENTO 20 GR 1 PIEZA,https://www.farmaciasdesimilares.com/bifonazol_unguento_20gr/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/156171-300-300?v=638139769802730000&width=300&height=300&aspect=true,$49
82,BIMATOPROST 0.3MG/1ML 3ML SOLUCION OFTALMICA 1 PIEZA,https://www.farmaciasdesimilares.com/bimatoprost_0_3mg_1ml_3ml_sol_oft/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157185-300-300?v=638139778520200000&width=300&height=300&aspect=true,$359
83,BIPERIDENO 2 MG 30 TABLETAS,https://www.farmaciasdesimilares.com/biperideno_2mg_30tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/156627-300-300?v=638139773590630000&width=300&height=300&aspect=true,$119
84,BISOPROLOL  2.5MG 30 TABLETAS,https://www.farmaciasdesimilares.com/bisoprolol_2_5mg_30tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162213-300-300?v=638663449934430000&width=300&height=300&aspect=true,$152
85,BISOPROLOL 5 MG 30 TABLETAS,https://www.farmaciasdesimilares.com/bisoprolol_5mg_30tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158211-300-300?v=638152101284400000&width=300&height=300&aspect=true,$110
86,BROMHEXINA 80MG/100ML SOLUCION INFANTIL 1 PIEZA,https://www.farmaciasdesimilares.com/bromhexina_80mg_100ml_sol_inf/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163339-300-300?v=638785355436300000&width=300&height=300&aspect=true,$34
87,BROMURO DE OTILONIO 40MG 30 TABLETAS,https://www.farmaciasdesimilares.com/bromuro_de_otilonio_40mg_30tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163709-300-300?v=638888893800430000&width=300&height=300&aspect=true,$479
88,BROMURO DE PINAVERIO 100 MG 14 TABLETAS,https://www.farmaciasdesimilares.com/bromuro_pinaverio_100mg_14tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162357-300-300?v=638663451008130000&width=300&height=300&aspect=true,$60
89,BUDESONIDA SUSPENSION 0.250MG/2ML O 0.125MG/ML PARA NEBULIZACION 5 AMPOLLETAS,https://www.farmaciasdesimilares.com/budesonid_0_250mg_2ml_o_0_125mg_ml_c_2ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/156702-300-300?v=638139774311130000&width=300&height=300&aspect=true,$147
90,BUDESONIDA SUSPENSION 0.500MG/2ML O 0.250MG/ML SUSPENSION PARA NEBULIZACION 5 AMPOLLETAS,https://www.farmaciasdesimilares.com/budesonid_0_500mg_2ml_o_0_250mg_ml_c_2ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/156468-300-300?v=638139772334730000&width=300&height=300&aspect=true,$164
91,BUFENINA/DIFENILPIRALINA/AMINOFENAZONA 25ML SOLUCION GOTAS,https://www.farmaciasdesimilares.com/bufenina-difenil-amino_25ml_sol_gts/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/164030-300-300?v=639029974003900000&width=300&height=300&aspect=true,$159
92,BUMETANIDA 1 MG 20 TABLETAS,https://www.farmaciasdesimilares.com/bumetanida_1mg_20tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/160312-300-300?v=638508528600070000&width=300&height=300&aspect=true,$124
93,BUPROPION (ANFEBUTAMONA) 150MG 15TABLETAS LIBERACION PROLONGADA,https://www.farmaciasdesimilares.com/bupropion_anfebutamona_150mg_15tab_lp/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/159479-300-300?v=638412630825800000&width=300&height=300&aspect=true,$439
94,BUTILHIOSCINA  20MG/1ML SOLUCION INYECTABLE 3 AMPOLLETAS,https://www.farmaciasdesimilares.com/butilhioscina_20mg_1ml_3amp/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158151-300-300?v=638152100867530000&width=300&height=300&aspect=true,$30
95,BUTILHIOSCINA SOLUCION 15 ML 1 PIEZA,https://www.farmaciasdesimilares.com/butilhioscina_frasco_sol_15ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157929-300-300?v=638152099569400000&width=300&height=300&aspect=true,$53
96,CABERGOLINA 0.5 MG 2TABLETAS,https://www.farmaciasdesimilares.com/cabergolina_0_5mg_2tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/156633-300-300?v=638139773645670000&width=300&height=300&aspect=true,$199
97,CALCITRIOL  0.25MCG 50 CAPSULAS,https://www.farmaciasdesimilares.com/calcitriol_0_25mcg_50cap/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157470-300-300?v=638139780937570000&width=300&height=300&aspect=true,$170
98,CANDESARTAN / HIDROCLOROTIAZIDA 16/12.5MG 28 TABLETAS,https://www.farmaciasdesimilares.com/candesartan_hidro_16_12_5mg_28tab_gen/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158625-300-300?v=638154646113800000&width=300&height=300&aspect=true,$199
99,CANDESARTAN 16 MG 14 TABLETAS,https://www.farmaciasdesimilares.com/candesartan_16mg_14tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158079-300-300?v=638152100482300000&width=300&height=300&aspect=true,$339
